Error Code(s),Type,Title (EN),Description (EN),中文說明
10001,Ignore,{action_name} has been interrupted,,動作被中斷（可能是使用者取消或外部事件）
10002,Error,Kachaka is shutting down,,機器人正在關機中
10003~12201 (26個),Error,An error has occurred,Restart Cachaca.,發生錯誤，需重新啟動機器人
10004,Error,An error has occurred,"If the error persists, please contact customer service.",發生錯誤，若持續發生請聯繫客服
10008,Fatal,An error has occurred,Restart Cachaca.,發生錯誤，需重新啟動機器人
10101,Bug,Internal error,,內部錯誤（SDK bug）
"10102, 10103",Error,A hardware error has occurred,"If the problem persists after restarting Kachaka, please contact the customer service center.",硬體錯誤，重啟後仍有問題請聯繫客服
10104,Error,Motor high temperature,The motor is overheated. Please turn off the power and wait until the temperature drops.,馬達過熱，請關閉電源等待降溫
10105,Ignore,Task has been canceled by pause button,Please press the power button to resume from the pause state.,使用者按下暫停鍵，任務暫停
10106,Ignore,Step detected,Kachaka has paused because a step was detected. Please move Kachaka to a flat surface and press the power button to resume from the pause state.,偵測到地面高低差（階梯/門檻），機器人暫停
"10107, 21051",Warn,Kachaka is paused,Please press the power button to resume from the pause state.,機器人暫停中，按電源鍵恢復
"10108, 21052",Error,Step detected,Kachaka has paused because a step was detected. Please move Kachaka to a flat surface and press the power button to resume from the pause state.,偵測到地面高低差（階梯/門檻），機器人暫停
"10109, 12402, 12403, 14106",Error,You don't have Kachaka Subscription,"To use Kachaka, you need to subscribe to Kachaka subscription. After subscribing, it will take abount an hour to reflect, so please restart Kachaka to reflect immediately.",未訂閱 Kachaka 服務，需購買訂閱才能使用
10220~10230 (11個),Warn,Task has been canceled,,任務已被取消
"10250, 10252",Error,No furniture listed,,沒有已註冊的傢俱（貨架）
"10251, 10253, 15601",Error,No destinations registered,,沒有已註冊的目的地
"10254, 14606",Error,Kachaka is not docked with a furniture,,機器人未載著傢俱（可能已掉落或未對接）
10255,Error,Kachaka is docked with a furniture,Please place the furniture.,機器人正載著傢俱，請先放下
10256~10274 (7個),Ignore,Please create a map,Please create a map and try again.,尚未建立地圖，請先建立地圖
10262,Error,Kachaka is docked with a furniture,,機器人正載著傢俱
10263,Bug,Internal error,Please update Kachaka software.,內部錯誤，請更新軟體
"10264, 14107",Error,An error is occurring,Kachaka cannot execute any tasks because of a fatal error.,發生嚴重錯誤，機器人無法執行任何任務
"10265, 14108",Error,An error is occurring,A task was canceled because of a fatal error.,發生嚴重錯誤，機器人無法執行任何任務
10266,Error,Kachaka is docked with a furniture,Kachaka docked with a furniture cannot create a map. Please undock before making a new map.,載著傢俱無法建立地圖，請先放下傢俱
10267,Ignore,It's already charging,,機器人已在充電中
10268,Ignore,All shelves have been returned,,所有傢俱已歸位
10269,Warn,Please specify the furniture,Please select a shelf to put back.,有多個傢俱需歸位，請指定要歸位哪一個
10270,Error,Unable to put away due to the settings,"The putting away process cannot continue because the settings do not allow undocking. To continue, you will need to change the settings.",設定為持續載著傢俱模式，無法歸位
10271,Error,Unable to place due to the settings,"Kachaka cannot continue the process of placing the furniture because the settings do not allow undocking. To continue, you will need to change the settings.",設定為持續載著傢俱模式，無法放下傢俱
"10272, 10273",Error,Need to put the docked shelf somewhere,"Kachaka cannot place a shelf on the charging dock, so if it already has a shelf on it, other shelf cannot be moved",已載著傢俱，無法在充電座放下，需先放到其他位置
10276,Error,No destinations registered,Restart Cachaca.,沒有已註冊的目的地
10280,Warn,Kachaka in on the charging dock,Self-location correction cannot be performed on the charging dock.,機器人在充電座上，無法執行自我定位校正
10281,Warn,Failed to re-localize,Please return Kachaka to the charging dock yourself,自我定位校正失敗，請手動將機器人推回充電座
10282,Error,待機時間が無効です,有効な秒数を設定してください,待機時間が無効です — 有効な秒数を設定してください
11001,Error,Failed to dock with {shelf},Please remove the obstacles around the furniture.,對接傢俱失敗，請清除傢俱周圍障礙物
11002,Error,Failed to undock with {shelf},"Please remove the furniture from Kachaka by hand and lower the docking unit by hand. If it occur many times, please contact the customer service center.",脫離傢俱失敗，請手動移除傢俱並放下對接裝置
11003,Error,Failed to get away from {shelf},Please check if there is enough space around the furniture.,無法離開傢俱，請確認周圍空間足夠
11004,Error,Failed to place {shelf},,放下傢俱失敗
11005,Error,{shelf} is not found,Kachaka couldn't find the furniture in the position where Kachaka has placed it last time. Please check the map and return the furniture to the original position.,找不到傢俱，可能已被移動，請確認傢俱在原位
11006,Error,{shelf} is too far,Please check the position of the furniture on the map and return the furniture to the original position.,傢俱距離太遠，請將傢俱移回原位
11007,Error,Failed to move to the front of {shelf},Please remove the obstacle in front of the furniture.,無法移動到傢俱正前方，請清除障礙物
11008,Error,Kachaka found a furniture which is not {shelf},Kachaka couldn't find the desired furniture because there is another furniture in the remembered position. Please check the map and return the target furniture to the original position.,在預期位置發現了不同的傢俱，請將正確傢俱放回原位
11009,Error,Failed to read the barcode of {shelf},"The barcode attached to the bottom of the furniture cannot be read. If the problem persists even if the furniture is returned to the original position, please make sure that the sensor of Kachaka or the barcode is not dirty.",無法讀取傢俱底部條碼，請清潔感測器和條碼
11010~11607 (8個),Error,An error has occurred,,發生錯誤（無額外說明）
"11011, 11013",Error,An error has occurred,Please remove the obstacles around the furniture.,發生錯誤，請移除傢俱周圍的障礙物
11012,Error,{shelf} has been removed,,傢俱已脫落（貨架掉落）
"11014, 11107",Error,The furniture is not registered,Please register the furniture.,傢俱未註冊，請先登記傢俱
11016,Error,Failed to complete the task,,無法完成指令
11017,Error,The destination is not registered,Please register the destination.,目的地未註冊，請先登記目的地
11018,Error,Failed to place {shelf},Kachaka couldn't place the furniture because it was in front of the charger. Please execute the task again.,無法在充電座前放下傢俱，請重新下達指令
"11019, 11501",Error,Charging canceled,"Kachaka cannot be charged with a furniture on it. Please place the furniture before charging, or enable furniture integrated mode.",無法充電：載著傢俱時不能充電，請先放下傢俱
11020,Error,{shelf} cannot be placed on a charger,Furniture cannot be placed on a charger. Please place it in another destination.,不能在充電座放置傢俱，請選擇其他位置
11101~12109 (10個),Bug,An error has occurred,Restart Cachaca.,發生錯誤，需重新啟動機器人
11102,Error,Failed to find the marker on the furniture,"Please check the position of the furniture. Also, please check if the barcode on the bottom of the furniture is not blocked or dirty.",找不到傢俱底部條碼，請確認傢俱位置和條碼狀態
"11103, 11104, 11105",Error,Failed to dock with {shelf},Please check the position of the furniture on the map and return the furniture to the original position.,對接失敗，請確認傢俱在地圖上的正確位置
11106,Error,Failed to dock with {shelf},Please make sure that the furniture recognition sensor is not blocked or that the docking unit on the bottom of the furniture (part to dock with Kachaka) has been damaged.,對接失敗，請檢查傢俱辨識感測器或底部對接裝置
11201,Error,no furniture,,沒有傢俱
11301,Error,Failed to find the furniture,Kachaka failed to find the barcode of the furniture.,找不到傢俱的條碼
11304,Error,An error has occurred,Please check if there are any obstacles around the home of furniture.,發生錯誤，請確認傢俱初始位置周圍無障礙物
"11306, 11307, 11308, 11310",Error,An error has occurred,Please give the instructions again.,發生錯誤，請重新下達指令
11309,Error,No wall markers found,Make sure the marker is properly placed on the wall at your destination and that there are no obstacles around.,找不到牆壁上的標記，請確認標記放置正確且周圍無障礙物
11311,Error,No floor markers found,"Please make sure that there is a cross marker on the floor of your destination, that the color of the marker matches the color (white or black) you entered when setting the destination, and that there are no obstacles around.",找不到地板上的十字標記，請確認標記顏色和位置
11401,Error,No default destination set,"To use voice commands such as ""Bring {shelf}"", you need to set the default destination.",未設定預設目的地，語音指令需要此設定
11402,Bug,No destination registered,An unregistered destination was specified.,指定了未註冊的目的地
11403,Error,internal error,"Failed to get a charger. Please restart Kachaka and try it again. It it occurs many time, please make another map.",內部錯誤：無法取得充電座資訊，請重啟或重建地圖
11502,Error,Failed to charge,Kachaka cannot move to the charging dock because there were obstacles around there. Please remove the obstacles or lift Kachaka and carry it to the charging dock.,充電失敗，充電座周圍有障礙物
11503,Error,Already charged,,已在充電座上
"11601, 12111",Bug,An error has occurred,Please try again.,發生錯誤，請重試
11608,Error,Map creation failed,"The map could not be created. please try again. If it occur many times, please contact the customer service center.",地圖建立失敗，請重試
11609,Error,Failed to save map,Please try again from the beginning.,地圖儲存失敗，請重試
11613,Error,Failed to move forward from the charger,Please remove obstacles in front of the charger and try again.,無法從充電座前進，請清除前方障礙物
11614,Error,Failed to save the map,"Kachaka could not complete the scan normally. Please retry  again and be careful not to show furniture, chair legs, people's legs, etc. during the scan near the charging dock.",地圖儲存失敗，請重試
11615,Error,An error has occurred,The map could not be created. Please try again.,地圖建立失敗，請重試
11616,Error,Failed to upload map,Please check the Internet connection and try it again.,上傳失敗，請檢查網路連線
"11617, 11618",Error,Failed to save map,"Obstacles (automatic doors, people, clanging shelves, etc.) may appear brown in front of the charging dock or on the path from the charging dock on the map. Please have Kachaka manually scan the location again and try saving the map.
If you still get the same error, you can continue saving.",地圖儲存失敗，充電座附近有障礙物影響導航
"11619, 11620, 11621",Error,Failed to save map,Map expansion failed. Please try again.,地圖擴展失敗，請重試
11622,Bug,Failed to save map,Please try again.,地圖儲存失敗，請重試
"11623, 11624, 11625",Error,Failed to save map,Please try again.,地圖儲存失敗，請重試
11626,Warn,充電ドック付近に障害物があります,充電ドック周辺に障害物があり、ロボットが目的地まで移動できない可能性があります。ドアは開けた状態にし、人物や家具などの障害物を取り除いてください。ロボットを手動で操作し、障害物表示が消えるまで充電ドック周辺を動かしてください。このままでも保存は可能ですが、移動範囲が制限される恐れがあります。,充電ドック付近に障害物があります — 充電ドック周辺に障害物があり、ロボットが目的地まで移動できない可能性があります。ドアは開けた状態にし、人物や家具などの障
11627,Warn,マップの状態に問題がある可能性があります,充電ドック周辺に障害物があり、ロボットが目的地まで移動できない可能性があります。ドアは開けた状態にし、人物や家具などの障害物を取り除いてください。ロボットを手動で操作し、障害物表示が消えるまで充電ドック周辺を動かしてください。このままでも保存は可能ですが、移動範囲が制限される恐れがあります。,マップの状態に問題がある可能性があります — 充電ドック周辺に障害物があり、ロボットが目的地まで移動できない可能性があります。ドアは開けた状態にし、人物や家具などの障
11701,Error,People not found,,找不到人（跟隨模式用）
11702,Error,Lost sight of the person,,跟丟了目標人物（跟隨模式用）
11801,Error,Failed to charge,Kachaka couldn't find a charging dock. Please check if the marker on the charging dock is not blocked.,充電失敗，找不到充電座標記
11802,Error,Failed to charge,Please check if there are any obstacles around the charging dock.,充電失敗，充電座周圍有障礙物
"11901, 11910",Error,Failed to upload,Please check the Internet connection and try it again after a while.,上傳失敗，請檢查網路連線
11902~11909 (8個),Bug,Failed to upload,Please restart Kachaka and try it again.,上傳失敗，請檢查網路連線
12000,Fatal,Failed to update Kachaka software,An error has occurred. Please restart Kachaka and try it again.,軟體更新失敗，請重啟後重試
12001,Error,Failed to start updating Kachaka software,You cannot start updating during the update. Please check if you have sent an update instruction from another device.,軟體更新失敗，請重啟後重試
"12002, 12003",Bug,Failed to update Kachaka software,Please restart Kachaka and try it again.,軟體更新失敗，請重啟後重試
12004,Fatal,Failed to update Kachaka software,Kachaka couldn't download the update package. Please check the Internet connection status and try again after a while.,軟體更新失敗，下載失敗，請檢查網路
12005~12012 (7個),Fatal,Failed to update Kachaka software,Please restart Kachaka and try it again.,軟體更新失敗，請重啟後重試
12010,Fatal,Failed to update Kachaka software,"If the problem persists after restarting Kachaka, please contact the customer service center.",軟體更新失敗，請重啟後重試
12013,Error,Failed to update Kachaka software,"Please place the kachaka on the charging dock, check the charging status and try it again.",軟體更新失敗，請重啟後重試
12014,Fatal,Failed to update Kachaka software,Kachaka couldn't update because the battery level was low. Please charge for a while and then try it again.,軟體更新失敗，請重啟後重試
12015,Error,Failed to update Kachaka software,Please wait a while or restart Cachaca and try again.,軟體更新失敗，請重啟後重試
12016,Fatal,Failed to restart Kachaka,Please restart with the power button.,Failed to restart Kachaka
12017,Fatal,Failed to update Kachaka software,Kachaka couldn't download the update package. Please restart Kachaka and try it again.,軟體更新失敗，下載失敗，請檢查網路
"12018, 12019",Fatal,Failed to update Kachaka software,,軟體更新失敗，請重啟後重試
"12020, 12021",Fatal,Failed to update Kachaka software,Please restart Cachaca and try again.,軟體更新失敗，請重啟後重試
12022~12040 (14個),Warn,Failed to update Kachaka software,,軟體更新失敗，請重啟後重試
"12023, 12024, 12025",Fatal,Failed to update Kachaka software,The update package could not be downloaded. Please restart Cachaca and try again.,軟體更新失敗，下載失敗，請檢查網路
"12026, 12027",Fatal,Failed to update Kachaka software,The update package could not be downloaded. Please check your internet connection and try again later.,軟體更新失敗，下載失敗，請檢查網路
12041,Warn,Failed to update Kachaka software,Restart it with the power button.,軟體更新失敗，請重啟後重試
12110~15201 (15個),Error,An error has occurred,Please try again.,發生錯誤，請重試
"12115, 12116, 12117, 12118",Error,Map export failed,Please try again.,Map export failed
12119~12126 (7個),Error,Map import failed,Please try again. The file may be damaged.,Map import failed
12124,Error,Map import failed,"There is already a map of the same ID. If you want to continue the import, delete the existing map and try it again.",Map import failed
12127,Error,Map import failed,Please try again.,Map import failed
12304,Error,Outdated date or time,An invalid date and time was entered. Please specify a date and time after the current one.,Outdated date or time — An invalid date and time was entered. Please specify a date 
12305,Error,Invalid date or time,An invalid date and time was entered. Please specify a date and time after the current one.,Invalid date or time — An invalid date and time was entered. Please specify a date 
"12306, 12307",Bug,The schedule is not found,The specified schedule does not exist.,The schedule is not found — The specified schedule does not exist.
"12308, 12309, 12310",Error,Internal clock is not synchronized,The schedule function is disabled because the time is incorrect. You can enable it by restarting Kachaka and synchronizing with the time server on the internet.,Internal clock is not synchronized — The schedule function is disabled because the time is incorr
12401,Warn,Cannot activate the manual operation,Please press the power button to resume from the pause state and try again.,Cannot activate the manual operation — Please press the power button to resume from the pause state
"12501, 12502, 12503",Bug,Internal communication error,"If the problem persists after restarting Kachaka, please contact the customer service center.","Internal communication error — If the problem persists after restarting Kachaka, please con"
"12504, 12505",Bug,Internal Request Error,"If the problem persists after restarting Kachaka, please contact the customer service center.","Internal Request Error — If the problem persists after restarting Kachaka, please con"
12506,Bug,Failed to edit the shortcut,"The specified shortcut is not found. Please try restarting Kachaka app. If the problem persists, please contact the customer service center.",Failed to edit the shortcut
12507,Bug,Failed to delete the shortcut,"The specified shortcut is not found. Please try restarting Kachaka app. If the problem persists, please contact the customer service center.",Failed to delete the shortcut
12508,Warn,The number of shortcuts is exceeded the limit,,The number of shortcuts is exceeded the limit
"12509, 14109",Bug,Internal error,Please try again.,內部錯誤（SDK bug）
12601,Error,Invalid QR Code,,Invalid QR Code
12602,Error,Failed to find a QR code,"Please bring the QR code closer to the camera, about 10 cm away.",Failed to find a QR code
12603,Error,Internal error,Please try again after restarting Kachaka.,內部錯誤（SDK bug）
12604,Error,Failed to get IP address,Please check your router settings.,Failed to get IP address
"12605, 12608, 12902, 13135",Bug,Internal error,"If the problem persists after restarting Kachaka, please contact the customer service center.",內部錯誤（SDK bug）
12606,Error,Failed to connect to Wi-Fi,Please try again.,Failed to connect to Wi-Fi
12607,Error,Incorrect password,Please enter the correct password and try again.,Incorrect password — Please enter the correct password and try again.
12609,Error,Not connected to the Internet,Please check if your router is connected to the internet.,Not connected to the Internet — Please check if your router is connected to the internet.
12610~13165 (10個),Error,Internal error,"If the problem persists after restarting Kachaka, please contact the customer service center.",內部錯誤（SDK bug）
12611~14401 (15個),Error,Internal error,Please try again.,內部錯誤（SDK bug）
12612,Error,Failed to restart Kachaka,Restart Cachaca.,Failed to restart Kachaka
12701~12735 (24個),Warn,Failed to set the value,,Failed to set the value
"12722, 12723, 12724, 12725, 12726",Fatal,Failed to start or stop Playground,Please restart Kachaka and try again.,Failed to start or stop Playground
12727,Error,Failed to enable or disable the local API,"If the problem persists after restarting Kachaka, please contact the customer service center.",Failed to enable or disable the local API
12728,Warn,Failed to enable or disable the local API,"If the problem persists after restarting Kachaka, please contact the customer service center.",Failed to enable or disable the local API
"12729, 12730",Error,Failed to set the IDX communication settings,Please restart Kachaka and try again.,Failed to set the IDX communication settings
"12731, 12732",Warn,Failed to set the IDX communication settings,Please restart Kachaka and try again.,Failed to set the IDX communication settings
"12736, 12738",Error,Failed to set locale,"If the problem persists after restarting Kachaka, please contact the customer service center.",Failed to set locale
"12737, 12739",Error,Failed to set timezone,"If the problem persists after restarting Kachaka, please contact the customer service center.",Failed to set timezone
12740~12777 (29個),Error,Failed to set the value,"If the problem persists after restarting Kachaka, please contact the customer service center.",Failed to set the value
12746~12775 (8個),Warn,Failed to set the value,"If the problem persists after restarting Kachaka, please contact the customer service center.",Failed to set the value
12752,Warn,Failed to pause or resume the voice recognition,"If the problem persists after restarting Kachaka, please contact the customer service center.",Failed to pause or resume the voice recognition
12801~12816 (14個),Fatal,Failed to delete Kachaca,Please restart Kachaka and try again.,Failed to delete Kachaca
12807,Warn,Internal error,Failed to restart Kachaka. Please press and hold the power button to turn off the power.,內部錯誤（SDK bug）
12815,Error,Internal error,Please check the Internet connection and try it again after a while.,內部錯誤（SDK bug）
"12817, 12818, 12819, 12820, 12821",Fatal,Failed to delete Playground,Please restart Kachaka and try again.,Failed to delete Playground
"12822, 12823, 12824, 12825, 12826",Fatal,Disabling remote support failed,Please restart Kachaka and try again.,Disabling remote support failed
12827,Warn,Internal error,Emergency stop failed. Please try again.,內部錯誤（SDK bug）
12828,Fatal,カチャカの削除に失敗しました,カチャカを再起動して、もう一度お試しください。,カチャカの削除に失敗しました — カチャカを再起動して、もう一度お試しください。
